year,health_board,age,sex,incident_cases,crude_rate,easr
2010,NHS Highland,75plus years,Female,271,1674.9072929542644,1659.5169211991854
2010,NHS Lanarkshire,0-44 years,Male,48,26.01513213519197,25.907531181601364
2010,NHS Lanarkshire,0-44 years,Female,32,17.1368592421224,16.4131413699665
2010,NHS Lanarkshire,45-64 years,Male,203,239.48846208295973,244.4795173537376
2010,NHS Lanarkshire,45-64 years,Female,141,155.86999778907804,156.86848720222184
2010,NHS Lanarkshire,65-74 years,Male,162,622.7655403067697,628.9119418126119
2010,NHS Lanarkshire,65-74 years,Female,157,501.32515885940546,503.10653499368135
2010,NHS Lanarkshire,75plus years,Male,265,1622.9789318961293,1852.8460075541122
2010,NHS Lanarkshire,75plus years,Female,425,1561.4666764641047,1602.7198183451244
2010,NHS Lothian,0-44 years,Male,35,14.351026098366034,14.413870121024148
2010,NHS Lothian,0-44 years,Female,28,11.417340493636871,11.392560880634067
2010,NHS Lothian,45-64 years,Male,181,179.0164972109032,183.70681388596978
2010,NHS Lothian,45-64 years,Female,141,134.29594635781774,136.33209563498954
2010,NHS Lothian,65-74 years,Male,190,640.7230053281177,648.0778725690986
2010,NHS Lothian,65-74 years,Female,147,422.72962558233166,422.9990643813062
2010,NHS Lothian,75plus years,Male,358,1663.414180838212,1802.441757756226
2010,NHS Lothian,75plus years,Female,600,1697.6007243096424,1669.3648789970805
2010,NHS Orkney,0-44 years,Male,0,0,0
2010,NHS Orkney,0-44 years,Female,0,0,0
2010,NHS Orkney,45-64 years,Male,-1,-1,127.33897495921856
2010,NHS Orkney,45-64 years,Female,-1,-1,62.85645680926636
2010,NHS Orkney,65-74 years,Male,-1,-1,241.3868773315778
2010,NHS Orkney,65-74 years,Female,-1,-1,270.23780758686434
2010,NHS Orkney,75plus years,Male,-1,-1,1348.316424769024
2010,NHS Orkney,75plus years,Female,-1,-1,914.4672046141604
2010,NHS Shetland,0-44 years,Male,0,0,0
2010,NHS Shetland,0-44 years,Female,0,0,0
2010,NHS Shetland,45-64 years,Male,-1,-1,184.1369145304853
2010,NHS Shetland,45-64 years,Female,-1,-1,66.45306752106325
2010,NHS Shetland,65-74 years,Male,-1,-1,765.0832844986335
2010,NHS Shetland,65-74 years,Female,-1,-1,212.11157068618093
2010,NHS Shetland,75plus years,Male,-1,-1,1533.3439334551383
2010,NHS Shetland,75plus years,Female,-1,-1,1385.7847744411833
2010,NHS Tayside,0-44 years,Male,22,20.277619038840857,20.80131537215966
2010,NHS Tayside,0-44 years,Female,19,17.317122076596366,17.74195263163287
2010,NHS Tayside,45-64 years,Male,130,240.93705982652529,240.96174901377609
2010,NHS Tayside,45-64 years,Female,99,175.0786969900612,173.9451361682257
2010,NHS Tayside,65-74 years,Male,116,624.5625370160986,627.2476082324445
2010,NHS Tayside,65-74 years,Female,126,595.8573725527286,595.130554798106
2010,NHS Tayside,75plus years,Male,248,1782.8900071890728,1915.0808235099928
2010,NHS Tayside,75plus years,Female,442,2006.6282289916921,2001.927870024682
2010,NHS Western Isles,0-44 years,Male,0,0,0
2010,NHS Western Isles,0-44 years,Female,-1,-1,25.5932141420789
2010,NHS Western Isles,45-64 years,Male,-1,-1,216.936247462986
2010,NHS Western Isles,45-64 years,Female,-1,-1,117.36716509254262
2010,NHS Western Isles,65-74 years,Male,-1,-1,657.9364223122989
2010,NHS Western Isles,65-74 years,Female,-1,-1,688.5585495781852
2010,NHS Western Isles,75plus years,Male,-1,-1,1543.0878698893157
2010,NHS Western Isles,75plus years,Female,-1,-1,1634.0069376890376
2011,Scotland,0-44 years,Male,285,19.420585138823114,19.9545204290177
2011,Scotland,0-44 years,Female,233,15.782518253193588,15.725483315229521
2011,Scotland,45-64 years,Male,1475,209.97248292816948,211.12452712122993
2011,Scotland,45-64 years,Female,1088,148.29494883960567,149.24521654692728
2011,Scotland,65-74 years,Male,1449,650.6131209224428,657.5771201656781
2011,Scotland,65-74 years,Female,1235,483.617695316936,484.9521134350286
2011,Scotland,75plus years,Male,2637,1695.601851851852,1831.0515569623444
2011,Scotland,75plus years,Female,4324,1739.1863954115083,1721.0304078392244
2011,NHS Ayrshire & Arran,0-44 years,Male,25,26.094671468086215,26.900454381689524
2011,NHS Ayrshire & Arran,0-44 years,Female,13,13.149243918474687,13.192196522019616
2011,NHS Ayrshire & Arran,45-64 years,Male,119,229.52590363769627,226.62610496869485
2011,NHS Ayrshire & Arran,45-64 years,Female,78,140.26758739749675,137.74634458259894
2011,NHS Ayrshire & Arran,65-74 years,Male,108,588.1071661947288,596.3442975201872
2011,NHS Ayrshire & Arran,65-74 years,Female,105,506.78121530961914,512.4290695979884
2011,NHS Ayrshire & Arran,75plus years,Male,178,1449.511400651466,1628.0508134472002
2011,NHS Ayrshire & Arran,75plus years,Female,328,1698.337907109201,1682.3783895335519
2011,NHS Borders,0-44 years,Male,4,14.541224371092046,16.69132070480997
2011,NHS Borders,0-44 years,Female,2,7.075388261930874,7.05275460444122
2011,NHS Borders,45-64 years,Male,34,200.12949555594795,191.47698720088982
2011,NHS Borders,45-64 years,Female,31,177.70134709085698,177.94523362457815
2011,NHS Borders,65-74 years,Male,40,657.5702778234424,668.8571462802535
2011,NHS Borders,65-74 years,Female,28,419.7901049475262,423.7080198462202
2011,NHS Borders,75plus years,Male,71,1629.5616249713107,1794.699031144506
2011,NHS Borders,75plus years,Female,112,1757.9657824517346,1710.9735983047003
2011,NHS Dumfries & Galloway,0-44 years,Male,2,5.524709262175078,5.70239453333824
2011,NHS Dumfries & Galloway,0-44 years,Female,6,16.351001498841804,17.63063062158255
2011,NHS Dumfries & Galloway,45-64 years,Male,55,246.78063445057657,237.36760238928665
2011,NHS Dumfries & Galloway,45-64 years,Female,26,112.04481792717085,109.56333627591974
2011,NHS Dumfries & Galloway,65-74 years,Male,48,557.2324123519852,557.158806994111
2011,NHS Dumfries & Galloway,65-74 years,Female,37,398.7068965517241,403.1717863931527
2011,NHS Dumfries & Galloway,75plus years,Male,111,1825.9582168119757,1949.9205333557236
2011,NHS Dumfries & Galloway,75plus years,Female,164,1876.6449250486328,1875.2129801476628
2011,NHS Fife,0-44 years,Male,17,17.307731465455806,18.61830052079233
2011,NHS Fife,0-44 years,Female,16,15.98162113569395,16.007629844448736
2011,NHS Fife,45-64 years,Male,97,196.66281450844434,196.3059524372246
2011,NHS Fife,45-64 years,Female,71,137.48499283528912,135.43576144567862
2011,NHS Fife,65-74 years,Male,94,574.8883860314354,576.0432601809879
2011,NHS Fife,65-74 years,Female,80,434.80623946953637,437.63974212244284
2011,NHS Fife,75plus years,Male,181,1601.4864625729958,1761.5778208923825
2011,NHS Fife,75plus years,Female,305,1767.5011590171534,1708.5195798957984
2011,NHS Forth Valley,0-44 years,Male,13,15.736022175686633,15.511553356558526
2011,NHS Forth Valley,0-44 years,Female,12,14.347030762425128,14.065173660910867
2011,NHS Forth Valley,45-64 years,Male,88,220.5237438917429,221.200385001134
2011,NHS Forth Valley,45-64 years,Female,62,150.08472524812396,152.92589830774463
2011,NHS Forth Valley,65-74 years,Male,86,677.9661016949152,686.1888176201135
2011,NHS Forth Valley,65-74 years,Female,76,519.8002872580535,523.9369146555645
2011,NHS Forth Valley,75plus years,Male,134,1596.7588179218305,1664.7341203302117
2011,NHS Forth Valley,75plus years,Female,275,2139.5783085660933,2116.33591631563
2011,NHS Grampian,0-44 years,Male,25,15.293887339108304,15.423682703189783
2011,NHS Grampian,0-44 years,Female,20,12.632642748863063,12.5705915137565
2011,NHS Grampian,45-64 years,Male,110,142.76443867618428,143.0106840426294
2011,NHS Grampian,45-64 years,Female,86,111.74200589893846,112.2175817966522
2011,NHS Grampian,65-74 years,Male,111,488.7929895636091,496.13993165761116
2011,NHS Grampian,65-74 years,Female,108,431.87907385931936,434.1326124995731
2011,NHS Grampian,75plus years,Male,256,1571.902247328994,1660.9516778477257
2011,NHS Grampian,75plus years,Female,429,1712.5064867669953,1684.432240259816
2011,NHS Greater Glasgow & Clyde,0-44 years,Male,76,23.348837780877304,24.401871721752514
